shard	file	docs	tokens	supervised	stage	sha256
0	shard_00000.bin	20000	1442081	844042	core	d5ad35d4f320404209334a108cefdc721ae4eb96f70dd9a0ec11e00040bc18cf
1	shard_00001.bin	20000	1452224	846594	core	a13aab95f282fa988a6bc6ea1c1f4e3ae32e3d9a5292865d4741cacc8280f2a5
2	shard_00002.bin	20000	1446625	842975	core	60b5498a662c57c6d6445857c183ee425169ca25249399213078a32c524272dd
3	shard_00003.bin	20000	1437102	832303	core	31eb24984267fafac817c0cad070b552608903789ce8ee64589af5c7555bb2f3
4	shard_00004.bin	20000	1456357	846740	core	761a3b0450bef4d7057775dff28913293c90468cf7d2af99cfa5a8cef1e43bb6
5	shard_00005.bin	20000	1444806	835591	core	b3c990f0199d9ee7fe9646d374cac13abe986ee6826618b1dc879dc819bdddea
6	shard_00006.bin	20000	1429914	824631	core	ba7bfa0494e93720445ef13009cceb89b80352955650a07c22a5e030c5f18bc7
7	shard_00007.bin	20000	1430214	823606	core	516342ffca75a0499054d7ff4c167e2adf9a0da5c93578da5492960ac7ed1986
8	shard_00008.bin	19883	2216347	1236435	core	6f15680597ae159729af68743ba06c0ed72b65647d87a41ed0baa663df3f1d75
