shard	file	docs	tokens	supervised	stage	sha256
0	shard_00000.bin	20000	97129652	97109652	interfere	5be3fb47e1bc9113b4ca92fb7687af24c54c8d4041be506862e834eb9b1d5193
1	shard_00001.bin	20000	94563589	94543589	interfere	95ddfbc2fc9212ec09c80e323603afe3f3f3d6d9e6c81583d6281e1eaca6fc97
2	shard_00002.bin	20000	94657443	94637443	interfere	cf90265e73a6a7d961a28900ec4618c5ba940ee76c60444dc217eaf8fcdaa0ec
3	shard_00003.bin	477	2069018	2068541	interfere	4cfd91650a918af3c6e787405ff0d554b0fa1e8870f68c96fbddaa26e86a100f
