shard	file	docs	tokens	supervised	sha256	stage
0	shard_00000.bin	4000	71314	24341	de496328de67933656c0ec0c137d122e43b23dfdfe728ab8343ff7a07f72473d	core
1	shard_00001.bin	4000	72154	24691	27fccedd0c01e03446de13c0492242b170a9cd77094c6e1784eca90b933508b9	core
2	shard_00002.bin	4000	71437	24423	12b3605a9843aa0feecc365e175432789670ea2066efe59ce773f50ff43179d8	core
3	shard_00003.bin	4000	71451	24305	61cdcab5f73005aef001a86a717d0f7e5d9a93c6cf5f0a4297beec93533b41d8	core
4	shard_00004.bin	4000	71431	24432	fe3128fc9ba30a36fe0cfa38d937c67750597dc6c39ba9df31e6522e6c8eae25	core
5	shard_00005.bin	4000	72229	24709	ab8c3ac66fb13979e9f7262c138abf32793cc0fe04e629b84d4bc10a0cf981f1	core
6	shard_00006.bin	4000	72570	24947	1b78c64fbc4da61f85edcb7424678ab9d265fe5f38a6ce1b39d61f95149bc634	core
7	shard_00007.bin	4000	71515	24466	d601cb7e56d9753bdbd4dcc78d3b3cb49660d51653b3d45e9ab448afc3869605	core
8	shard_00008.bin	1935	34599	11832	fd419f58507126bc54a0d6f93638fabb433c8b66521f5f266eb5ba3a9226740d	core
