shard	file	docs	tokens	supervised	stage	sha256
0	shard_00000.bin	20000	53280328	53260328	interfere	3f39b245b1ea20481340fa4287f599904df3d0b871ae3f767c47a6a3f58e0073
1	shard_00001.bin	20000	52053903	52033903	interfere	c82d333fa87217c0a8f2e55b60287a79a50205d56da1843b4c48c87cc6b52a9f
2	shard_00002.bin	20000	51848485	51828485	interfere	1ba90f0eb3cf5059c7096eedc60b9ce365583f31aeffb31b86a763c3376ba97a
3	shard_00003.bin	477	1134688	1134211	interfere	a21787c743e7f8f4b6ac989639e8b5dc56576560ce7b95e65e975fc5ae3d1be8
